OPENSSL_CONF_INCLUDE=/home/jaruga/.local/openssl-3.2.0-dev-fips-debug-cf712830b7/ssl \
OPENSSL_MODULES=/home/jaruga/.local/openssl-3.2.0-dev-fips-debug-cf712830b7/lib/ossl-modules \
LD_LIBRARY_PATH=/home/jaruga/.local/openssl-3.2.0-dev-fips-debug-cf712830b7/lib \
./ec_builtin_curves
Loaded providers:
  default
FIPS enabled: no
[DEBUG] crv_len: 82
[DEBUG] curves: [704, secp112r1]
[DEBUG] curves: [705, secp112r2]
[DEBUG] curves: [706, secp128r1]
[DEBUG] curves: [707, secp128r2]
[DEBUG] curves: [708, secp160k1]
[DEBUG] curves: [709, secp160r1]
[DEBUG] curves: [710, secp160r2]
[DEBUG] curves: [711, secp192k1]
[DEBUG] curves: [712, secp224k1]
[DEBUG] curves: [713, secp224r1]
[DEBUG] curves: [714, secp256k1]
[DEBUG] curves: [715, secp384r1]
[DEBUG] curves: [716, secp521r1]
[DEBUG] curves: [409, prime192v1]
[DEBUG] curves: [410, prime192v2]
[DEBUG] curves: [411, prime192v3]
[DEBUG] curves: [412, prime239v1]
[DEBUG] curves: [413, prime239v2]
[DEBUG] curves: [414, prime239v3]
[DEBUG] curves: [415, prime256v1]
[DEBUG] curves: [717, sect113r1]
[DEBUG] curves: [718, sect113r2]
[DEBUG] curves: [719, sect131r1]
[DEBUG] curves: [720, sect131r2]
[DEBUG] curves: [721, sect163k1]
[DEBUG] curves: [722, sect163r1]
[DEBUG] curves: [723, sect163r2]
[DEBUG] curves: [724, sect193r1]
[DEBUG] curves: [725, sect193r2]
[DEBUG] curves: [726, sect233k1]
[DEBUG] curves: [727, sect233r1]
[DEBUG] curves: [728, sect239k1]
[DEBUG] curves: [729, sect283k1]
[DEBUG] curves: [730, sect283r1]
[DEBUG] curves: [731, sect409k1]
[DEBUG] curves: [732, sect409r1]
[DEBUG] curves: [733, sect571k1]
[DEBUG] curves: [734, sect571r1]
[DEBUG] curves: [684, c2pnb163v1]
[DEBUG] curves: [685, c2pnb163v2]
[DEBUG] curves: [686, c2pnb163v3]
[DEBUG] curves: [687, c2pnb176v1]
[DEBUG] curves: [688, c2tnb191v1]
[DEBUG] curves: [689, c2tnb191v2]
[DEBUG] curves: [690, c2tnb191v3]
[DEBUG] curves: [693, c2pnb208w1]
[DEBUG] curves: [694, c2tnb239v1]
[DEBUG] curves: [695, c2tnb239v2]
[DEBUG] curves: [696, c2tnb239v3]
[DEBUG] curves: [699, c2pnb272w1]
[DEBUG] curves: [700, c2pnb304w1]
[DEBUG] curves: [701, c2tnb359v1]
[DEBUG] curves: [702, c2pnb368w1]
[DEBUG] curves: [703, c2tnb431r1]
[DEBUG] curves: [735, wap-wsg-idm-ecid-wtls1]
[DEBUG] curves: [736, wap-wsg-idm-ecid-wtls3]
[DEBUG] curves: [737, wap-wsg-idm-ecid-wtls4]
[DEBUG] curves: [738, wap-wsg-idm-ecid-wtls5]
[DEBUG] curves: [739, wap-wsg-idm-ecid-wtls6]
[DEBUG] curves: [740, wap-wsg-idm-ecid-wtls7]
[DEBUG] curves: [741, wap-wsg-idm-ecid-wtls8]
[DEBUG] curves: [742, wap-wsg-idm-ecid-wtls9]
[DEBUG] curves: [743, wap-wsg-idm-ecid-wtls10]
[DEBUG] curves: [744, wap-wsg-idm-ecid-wtls11]
[DEBUG] curves: [745, wap-wsg-idm-ecid-wtls12]
[DEBUG] curves: [749, Oakley-EC2N-3]
[DEBUG] curves: [750, Oakley-EC2N-4]
[DEBUG] curves: [921, brainpoolP160r1]
[DEBUG] curves: [922, brainpoolP160t1]
[DEBUG] curves: [923, brainpoolP192r1]
[DEBUG] curves: [924, brainpoolP192t1]
[DEBUG] curves: [925, brainpoolP224r1]
[DEBUG] curves: [926, brainpoolP224t1]
[DEBUG] curves: [927, brainpoolP256r1]
[DEBUG] curves: [928, brainpoolP256t1]
[DEBUG] curves: [929, brainpoolP320r1]
[DEBUG] curves: [930, brainpoolP320t1]
[DEBUG] curves: [931, brainpoolP384r1]
[DEBUG] curves: [932, brainpoolP384t1]
[DEBUG] curves: [933, brainpoolP512r1]
[DEBUG] curves: [934, brainpoolP512t1]
[DEBUG] curves: [1172, SM2]
